,age,job,marital,education,default,housing,loan,month,day_of_week,campaign,pdays,previous,poutcome,EVR,CPI,cons_conf_idx,euribor,no_emp,y,y_n
0,56,housemaid,married,basic.4y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
1,57,services,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
2,37,services,married,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
3,40,admin.,married,basic.6y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
4,56,services,married,high.school,no,no,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
5,45,services,married,basic.9y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
6,59,admin.,married,professional.course,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
7,41,blue-collar,married,N/A,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
8,24,technician,single,professional.course,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
9,25,services,single,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
12,29,blue-collar,single,high.school,no,no,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
13,57,housemaid,divorced,basic.4y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
14,35,blue-collar,married,basic.6y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
15,54,retired,married,basic.9y,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
17,46,blue-collar,married,basic.6y,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
18,50,blue-collar,married,basic.9y,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
19,39,management,single,basic.9y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
20,30,unemployed,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
21,55,blue-collar,married,basic.4y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
22,55,retired,single,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
23,41,technician,single,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
24,37,admin.,married,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
25,35,technician,married,university.degree,no,no,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
26,59,technician,married,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
27,39,self-employed,married,basic.9y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
28,54,technician,single,university.degree,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
30,46,admin.,married,N/A,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
32,49,blue-collar,married,N/A,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
33,54,management,married,basic.4y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
34,54,blue-collar,divorced,basic.4y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
36,34,services,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
37,52,technician,married,basic.9y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
38,41,admin.,married,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
39,56,technician,married,basic.4y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
41,32,entrepreneur,married,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
